id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1266118,Large single ensuite in Didsbury,4504436,Tori,Didsbury West,53.41746288534969,-2.2321721910651884,Private room,50,3,20,2016-03-01,0.59,2,358
6770552,West Didsbury room in BRIGHT flat!,6478345,Jemma,Didsbury West,53.42430098098929,-2.2365213861615207,Private room,30,1,9,2016-02-21,1.36,2,315
8599874,Modern Double Bed En Suite WIFI,4807924,Subz,Didsbury West,53.42099824270603,-2.2439011422072292,Entire home/apt,32,2,9,2016-02-07,1.47,2,348
9112301,"Comfortable,  spacious, quiet flat",15903493,Benjamin,Didsbury West,53.42311152974494,-2.24400840501531,Entire home/apt,50,1,9,2016-03-27,1.90,1,354
11602155,Cosy spacious house in a quiet area,14683286,Matthew,Didsbury West,53.42128309023465,-2.255909830095512,Entire home/apt,65,1,2,2016-03-16,1.87,2,332
7408693,"Double Room in Didsbury, Manchester",38820018,Pablo,Didsbury West,53.41686162538324,-2.232326045036022,Private room,30,1,11,2016-03-22,1.62,1,288
5307067,Sunny double - own high spec bath!,9178184,Marco And Jacinta,Didsbury West,53.425562451009725,-2.242272117137323,Private room,37,7,5,2015-04-27,0.38,1,219
11501129,"Sunny, leafy room near bus and tram",60580846,J E,Didsbury West,53.42414876878594,-2.2392544584017866,Private room,30,2,1,2016-03-09,0.88,1,75
1111565,Fab Apartment in Didsbury Village,6100874,Alan And Sharon,Didsbury West,53.41546898574753,-2.23412096719893,Entire home/apt,75,7,11,2015-08-13,0.44,3,49
6105015,Cozy Double room in West didsbury,29449644,Sean,Didsbury West,53.424597254821116,-2.242193636042295,Private room,351,1,0,,,1,365
2150350,"Fantastic, modern 3 bedroom house",10974149,Simon,Didsbury West,53.42286878440848,-2.256976287016165,Entire home/apt,95,1,59,2016-04-10,2.81,1,333
11053448,Double room in Didsbury,56723992,Rana,Didsbury West,53.41711890372424,-2.2482870307853995,Private room,28,3,1,2016-02-18,0.56,1,0
6074313,Quiet and lovely double bedroom,31529773,Ioanna,Didsbury West,53.42838354167556,-2.237254287254926,Private room,42,2,5,2016-03-16,0.96,2,365
9340276,Spacious loft apartment,21693747,Gina,Didsbury West,53.42539836729866,-2.2388710263927734,Entire home/apt,95,2,5,2016-02-28,1.09,2,64
9340954,PR in Spacious loft apartment,21693747,Gina,Didsbury West,53.423093213398914,-2.2398691781326123,Private room,50,5,7,2016-03-15,1.41,2,271
11539112,Lovely double bedroom in Didsbury,5808414,Emma,Didsbury West,53.42221494032612,-2.2336152760490378,Private room,25,1,1,2016-03-26,1,1,357
11430679,Modern Double Bed En Suite WIFI,4807924,Subz,Didsbury West,53.42035445460241,-2.2434218490692173,Entire home/apt,27,1,2,2016-04-03,1.30,2,346
9113833,Quiet lovely 2 double bedroom flat,31529773,Ioanna,Didsbury West,53.427705616687675,-2.2389679870041435,Entire home/apt,75,2,3,2016-03-30,1.38,2,282
792953,"Huge Open Plan Apartment, Didsbury",1700712,Adam,Didsbury West,53.418421165043405,-2.2330151212219564,Private room,42,1,175,2016-04-05,4.26,2,337
7739126,Light & airy 1 bed flat (Didsbury),40261247,Caroline,Didsbury West,53.42280722919788,-2.2447020329514547,Entire home/apt,40,2,14,2016-01-03,1.89,1,14
5257088,Cosy flat with off street parking,27209066,Anna,Didsbury West,53.42280039522913,-2.2425941845526425,Entire home/apt,47,1,38,2016-03-24,2.64,2,351
8784532,"Fantastic bay room, DidsburyVillage",45630673,David,Didsbury West,53.416433959846145,-2.234904640347048,Private room,40,1,4,2016-02-28,0.85,3,360
4194498,South Manchester Apartment,18729026,Rob,Didsbury West,53.417898005665684,-2.2359026211951174,Entire home/apt,59,1,73,2016-04-04,4.10,1,344
7781998,Cozy double minutes from Burton Rd,32488007,Amy Jane,Didsbury West,53.422821616624255,-2.244652186184556,Private room,25,1,0,,,1,67
9948881,Fantastic room 2 mins From Village,45630673,David,Didsbury West,53.418067336255646,-2.2364425765229132,Private room,37,1,5,2016-03-21,2.88,3,365
9787061,Detached Private Extension Room,50446706,Penny,Didsbury West,53.41713567733324,-2.240958003182195,Private room,50,1,0,,,1,344
610613,Dbl Room good access to city centre,3027563,Bob And Christine,Didsbury West,53.42743935983521,-2.2327302735500214,Private room,34,1,216,2016-03-16,4.83,3,216
8298514,Bright & Characterful 2 Bed Flat!,6478345,Jemma,Didsbury West,53.423751560633214,-2.235047329575701,Entire home/apt,120,2,0,,,2,303
4740638,Great double bedroom,12321128,Liz,Chorlton Park,53.437829757036724,-2.266610278298924,Private room,40,1,1,2015-09-14,0.14,2,350
12034615,Chic modern West didsbury townhouse,55394597,Helen,Chorlton Park,53.427397578184625,-2.248913571477563,Entire home/apt,99,1,0,,,1,255
6242513,Large Attic Room with 2 single beds,21970125,Eileen,Chorlton Park,53.437477908512264,-2.267640109293248,Private room,32,1,21,2016-03-30,1.90,2,350
5318908,"Double, b/fast, Tram, Airport coll.",2725731,Rowan And Chelle,Chorlton Park,53.428158379080905,-2.2696394829534916,Private room,29,1,49,2016-03-23,3.62,1,137
1922415,Burton Road bijou beauty!,5444067,Sarah,Chorlton Park,53.426902811726926,-2.242452335296666,Entire home/apt,78,1,17,2015-07-16,0.66,1,365
6220481,1 bedroom serviced modern apartment,32259923,Lewis Phipps Property Management,Chorlton Park,53.43171196934373,-2.2468913436912468,Entire home/apt,70,1,11,2016-03-13,1.04,2,241
8836763,"Luxury 2 Bed Flat, West Didsbury",13276989,Asia,Chorlton Park,53.42480843712089,-2.2486155338915186,Entire home/apt,130,1,10,2016-04-08,1.94,1,307
2020626,"Light, comfortable double room",6108597,Julie,Chorlton Park,53.42334007306557,-2.266094768080229,Private room,22,3,25,2016-03-19,0.92,1,264
6475532,Cosy double room,33829973,Amy,Chorlton Park,53.423950665422645,-2.26624613568736,Private room,18,1,1,2015-08-30,0.13,1,0
2410851,Lovely room in Chorlton ,12321128,Liz,Chorlton Park,53.43722344111864,-2.267863154813052,Private room,40,2,5,2015-03-02,0.20,2,295
4339988,Didsbury Garden Apartment,18468161,Luke,Chorlton Park,53.42350668475576,-2.249393930243822,Entire home/apt,80,2,36,2016-03-31,2.05,1,354
8170941,Large attic room with Single Bed,21970125,Eileen,Chorlton Park,53.43870407327607,-2.26729139825694,Private room,29,1,15,2016-04-08,2.43,2,362
3711682,Bright double room Chorlton,18939964,Verity,Chorlton Park,53.430338433825334,-2.2639017674537776,Private room,30,1,53,2016-04-08,2.61,1,318
7507421,Apartment in Central Chorlton!,3052129,Jen,Chorlton Park,53.43706587319274,-2.271735340244161,Entire home/apt,50,1,6,2016-02-28,0.73,1,88
11564771,Double room in modern apartment!,4105132,Kristine,Chorlton Park,53.43939489234183,-2.244912642842151,Private room,40,1,0,,,2,40
1199469,Boutique Mews Cottage West Didsbury,6552609,David,Chorlton Park,53.42742274642496,-2.244938441618119,Entire home/apt,150,3,7,2015-09-28,0.21,1,323
